Dataset;ContrAvs;HVAvs;GDAvs;ContrAvc;HVAvc;GDAvc;ContrAvsc;HVAvsc;GDAvsc;ContrAs;HVAs;GDAs;ContrAc;HVAc;GDAc;ContrAsc;HVAsc;GDAsc;ContrRandom;HVRandom;GDRandom
4;0.0491;0.5833;0.0036;0.0834;0.574;0.0061;0.3153;0.5873;0.0023;0.025;0.5807;0.0037;0.2356;0.5864;0.0023;0.2912;0.5869;0.0023;0;0.2727;0.0174
4;0.0279;0.5758;0.0041;0.1021;0.5774;0.0064;0.3034;0.5804;0.0025;0.0144;0.5743;0.0039;0.2784;0.5828;0.0023;0.2736;0.5831;0.0024;0;0.2813;0.0169
4;0.0366;0.5817;0.0048;0;0.456;0.0091;0.3716;0.5872;0.0024;0.0417;0.5829;0.0036;0.2718;0.5867;0.0023;0.278;0.5872;0.0023;0;0.2801;0.0168
4;0.0485;0.5783;0.0035;0.0654;0.564;0.0063;0.2808;0.5806;0.0024;0.0242;0.571;0.004;0.3178;0.582;0.0023;0.2629;0.582;0.0024;0;0.2871;0.0168
4;0.0241;0.5727;0.0047;0.0714;0.5707;0.0066;0.3209;0.5867;0.0023;0.014;0.5765;0.0041;0.2786;0.5863;0.0023;0.2907;0.5876;0.0023;0;0.2852;0.0167
4;0.0348;0.5774;0.0038;0.1125;0.5778;0.006;0.3326;0.584;0.0024;0.0478;0.5798;0.0036;0.2639;0.5843;0.0024;0.2081;0.5835;0.0023;0;0.2698;0.0179
4;0.0166;0.578;0.0046;0.1083;0.5839;0.0064;0.3052;0.5873;0.0024;0.0041;0.5733;0.0044;0.3072;0.5884;0.0023;0.2583;0.5883;0.0023;0;0.2846;0.0173
4;0.0406;0.58;0.0039;0.1124;0.5805;0.0062;0.2712;0.5846;0.0025;0.0122;0.5748;0.0044;0.2438;0.5858;0.0024;0.3194;0.5866;0.0024;0;0.2889;0.017
4;0.052;0.5787;0.0041;0.11;0.5803;0.006;0.2976;0.5839;0.0025;0.0196;0.5772;0.0037;0.2691;0.5857;0.0024;0.2514;0.5843;0.0024;0;0.2905;0.0174
4;0.0106;0.5753;0.0043;0.0916;0.5626;0.0074;0.3056;0.5859;0.0024;0.0347;0.5807;0.0036;0.2902;0.5856;0.0024;0.2671;0.5859;0.0024;0;0.2761;0.0169
4;0.019;0.5765;0.0042;0.093;0.5789;0.0071;0.3;0.5862;0.0024;0.022;0.5695;0.0044;0.288;0.5872;0.0024;0.278;0.5871;0.0023;0;0.2791;0.0166
4;0.0058;0.5733;0.0041;0.1218;0.583;0.0048;0.3157;0.5837;0.0025;0.036;0.5792;0.0037;0.2612;0.5843;0.0024;0.2592;0.5848;0.0023;0;0.278;0.0176
4;0.025;0.5786;0.004;0.138;0.5841;0.0066;0.327;0.5866;0.0024;0.023;0.5794;0.0037;0.19;0.5867;0.0023;0.297;0.5873;0.0023;0;0.2862;0.0172
