Dataset;ContrACII;HVACII;GDACII;ContrAC;HVAC;GDAC;ContrA;HVA;GDA;ContrI;HVI;GDI;Contr;HV;GD
4;0.7889;0.5818;0.0004;0.1631;0.5616;0.0028;0.0479;0.5772;0.0007;0;0.5015;0.019;0;0.4717;0.0186
4;0.6634;0.5818;0.0005;0.2911;0.5781;0.0018;0.0454;0.5763;0.0013;0;0.5016;0.021;0;0.4648;0.0199
4;0.6684;0.5832;0.0005;0.2862;0.5777;0.0012;0.0453;0.5766;0.0015;0;0.501;0.0183;0;0.4814;0.0195
4;0.5937;0.5816;0.0005;0.3664;0.5801;0.0021;0.0397;0.5767;0.0014;0;0.4957;0.0192;0;0.4651;0.0186
4;0.8108;0.5882;0.0004;0.1549;0.5778;0.0015;0.0341;0.5812;0.0015;0;0.5067;0.019;0;0.4735;0.0192
4;0.9476;0.5816;0.0005;0;0.4555;0.0127;0.0523;0.5763;0.0012;0;0.4948;0.0189;0;0.4708;0.0184
4;0.7201;0.5826;0.0005;0.2333;0.5738;0.002;0.0464;0.5772;0.0009;0;0.5031;0.0191;0;0.4671;0.0201
4;0.9329;0.5842;0.0004;0;0.4598;0.0111;0.067;0.5788;0.0014;0;0.4952;0.0196;0;0.4753;0.0192
4;0.6925;0.5825;0.0004;0.2685;0.5748;0.0024;0.0388;0.5773;0.0012;0;0.4948;0.021;0;0.4645;0.0202
4;0.7115;0.5814;0.0005;0.2488;0.5742;0.002;0.0396;0.5772;0.0012;0;0.502;0.0224;0;0.4656;0.0187
5;0.4716;0.5338;0.0069;0.4626;0.5046;0.049;0.0656;0.5272;0.0105;0;0.0967;0.1523;0;0;0.1851
5;0.4726;0.5346;0.0074;0.4601;0.4886;0.0647;0.0671;0.5188;0.0118;0;0.1634;0.1486;0;0;0.2097
5;0.3613;0.5307;0.007;0.5887;0.5244;0.0461;0.0498;0.5058;0.0117;0;0.1095;0.159;0;0;0.2024
5;0.3022;0.5367;0.0073;0.6045;0.5164;0.0578;0.0932;0.5336;0.0117;0;0.1268;0.147;0;0;0.2007
5;0.6958;0.5099;0.0075;0.1013;0.5215;0.0056;0.2027;0.5221;0.0084;0;0.1232;0.1512;0;0;0.2169
5;0.7284;0.5272;0.0068;0;0;0.2328;0.2715;0.526;0.0114;0;0.1434;0.1663;0;0;0.2195
5;0.2819;0.5322;0.007;0.5744;0.523;0.0532;0.1436;0.5326;0.0112;0;0.142;0.1546;0;0;0.2109
5;0.8517;0.5308;0.0071;0;0;0.2732;0.1482;0.51;0.0115;0;0.1191;0.1548;0;0;0.2092
5;0.4902;0.5333;0.0072;0.3616;0.4898;0.0595;0.148;0.5294;0.0109;0;0.1069;0.1499;0;0;0.2227
5;0.455;0.5282;0.0067;0.473;0.5149;0.0498;0.0719;0.5238;0.0109;0;0.098;0.1392;0;0;0.216
5;0.8542;0.5418;0.0065;0;0;0.2432;0.1457;0.5211;0.011;0;0.0838;0.1365;0;0;0.1902
5;0.385;0.5308;0.0071;0.5927;0.5144;0.0593;0.0221;0.4958;0.0121;0;0.0983;0.1531;0;0;0.2003
5;0.3565;0.5236;0.0071;0.563;0.4997;0.0585;0.0804;0.5245;0.0105;0;0.1137;0.1465;0;0;0.2114
5;0.3164;0.5396;0.0063;0.5727;0.5291;0.0384;0.1107;0.5295;0.0105;0;0.0836;0.1419;0;0;0.1907
5;0.8512;0.5227;0.0072;0;0.4172;0.0612;0.1487;0.513;0.0115;0;0.0766;0.1473;0;0;0.2145
5;0.6867;0.529;0.0069;0.136;0.5295;0.0055;0.1772;0.5184;0.0116;0;0.1444;0.1528;0;0;0.1971
5;0.4365;0.5349;0.0066;0.4213;0.4932;0.0593;0.1421;0.5346;0.0076;0;0.0823;0.1437;0;0;0.2106
5;0.3437;0.531;0.007;0.5468;0.5155;0.0527;0.1093;0.5256;0.0106;0;0.111;0.1496;0;0;0.196
5;0.7668;0.5361;0.0068;0;0;0.1962;0.2331;0.534;0.011;0;0.1233;0.144;0;0;0.1789
5;0.3956;0.5362;0.0072;0.5219;0.4837;0.0546;0.0824;0.5302;0.0109;0;0.0847;0.1595;0;0;0.2023
5;0.4262;0.5309;0.007;0.504;0.5022;0.0712;0.0697;0.5218;0.0116;0;0.0864;0.1488;0;0;0.2057
5;0.4447;0.5309;0.0067;0.4271;0.4962;0.0512;0.1281;0.5271;0.0117;0;0.1094;0.1395;0;0;0.2067
5;0.386;0.5341;0.0068;0.4948;0.5124;0.0516;0.1191;0.5286;0.0116;0;0.1227;0.1419;0;0;0.1863
5;0.4742;0.5321;0.0065;0.485;0.4989;0.0477;0.0406;0.4975;0.0111;0;0.121;0.15;0;0;0.2208
5;0.74;0.5262;0.0069;0.0566;0.5239;0.0053;0.2033;0.5116;0.0113;0;0.102;0.1419;0;0;0.2215
5;0.3403;0.5393;0.0068;0.5408;0.518;0.0441;0.1187;0.5261;0.01;0;0.0914;0.1487;0;0;0.1986
5;0.7973;0.5317;0.0067;0;0.0131;0.267;0.2026;0.525;0.0111;0;0.0959;0.1405;0;0;0.2
5;0.8455;0.5246;0.0071;0;0.4673;0.0651;0.1544;0.515;0.0113;0;0.1367;0.1495;0;0;0.1936
5;0.7284;0.528;0.0068;0;0.0023;0.2276;0.2715;0.5289;0.0109;0;0.0845;0.1436;0;0;0.2095
5;0.2385;0.5314;0.0069;0.5459;0.5116;0.0472;0.2155;0.5378;0.0107;0;0.1479;0.1525;0;0;0.2044
6;0.3721;0.5404;0.0001;0.3186;0.5397;0.0002;0.251;0.5376;0.0003;0.0342;0.5234;0.0021;0.0239;0.5194;0.0021
6;0.3617;0.54;0.0001;0.297;0.5376;0.0002;0.2936;0.5382;0.0002;0.0312;0.5222;0.0021;0.0162;0.5185;0.0021
6;0.3342;0.5431;0;0.3199;0.5419;0.0002;0.3076;0.5425;0.0002;0.0274;0.5261;0.0022;0.0106;0.5232;0.002
6;0.3363;0.5405;0.0001;0.3022;0.5394;0.0002;0.315;0.5399;0.0002;0.034;0.5215;0.0022;0.0123;0.5185;0.0021
6;0.3458;0.5395;0.0001;0.2932;0.5369;0.0003;0.3241;0.5386;0.0002;0.0221;0.5208;0.0023;0.0146;0.518;0.0023
6;0.3273;0.5397;0;0.2998;0.5387;0.0002;0.3375;0.5397;0.0001;0.0303;0.5183;0.0027;0.0048;0.5183;0.0023
6;0.3639;0.5402;0.0001;0.2909;0.5394;0.0002;0.3119;0.5393;0.0001;0.0268;0.5213;0.0024;0.0062;0.52;0.0021
6;0.3346;0.5412;0.0001;0.314;0.541;0.0001;0.301;0.5408;0.0001;0.0288;0.524;0.0019;0.0213;0.5216;0.0022
6;0.3588;0.541;0.0001;0.3015;0.5398;0.0002;0.3007;0.5401;0.0002;0.0335;0.5226;0.0023;0.0053;0.5202;0.0022
6;0.2923;0.5405;0.0001;0.3105;0.5376;0.0003;0.3347;0.54;0.0002;0.0337;0.5245;0.0023;0.0285;0.5173;0.002
6;0.3514;0.54;0.0001;0.3068;0.5388;0.0002;0.3012;0.5397;0.0002;0.0255;0.5204;0.0024;0.0149;0.5183;0.0021
6;0.3571;0.5414;0.0001;0.3112;0.5396;0.0003;0.2814;0.5401;0.0003;0.0276;0.5208;0.0025;0.0225;0.5191;0.0024
6;0.347;0.541;0.0001;0.3017;0.538;0.0003;0.3164;0.5401;0.0001;0.0323;0.5229;0.0024;0.0025;0.5192;0.0022
6;0.346;0.5405;0.0001;0.3149;0.5392;0.0002;0.2907;0.5398;0.0002;0.0331;0.521;0.0024;0.0151;0.5198;0.002
6;0.3463;0.5398;0.0001;0.3007;0.5383;0.0003;0.3069;0.539;0.0001;0.0323;0.5225;0.0023;0.0136;0.5184;0.0022
6;0.3433;0.542;0;0.3;0.5391;0.0003;0.3054;0.5416;0.0001;0.0342;0.5242;0.0021;0.0169;0.5226;0.002
6;0.3279;0.5404;0.0001;0.3111;0.5401;0.0001;0.3226;0.5398;0.0001;0.0139;0.5215;0.0021;0.0242;0.5202;0.0022
6;0.3505;0.5429;0;0.3008;0.5409;0.0002;0.307;0.5424;0.0001;0.0098;0.5275;0.0021;0.0316;0.5211;0.0023
6;0.3288;0.539;0.0001;0.3071;0.5384;0.0002;0.3145;0.5383;0.0002;0.0294;0.5218;0.0022;0.02;0.5179;0.002
