Dataset;ContrACII;HVACII;GDACII;ContrAC;HVAC;GDAC;ContrA;HVA;GDA;ContrI;HVI;GDI;Contr;HV;GD
5;0.2968;0.5388;0.0503;0.7031;0.5434;0.0481;0;0.4829;0.1832;0;0;0.1403;0;0;0.7003
5;0.3655;0.5415;0.0443;0.6344;0.5278;0.0414;0;0.4723;0.1888;0;0.0051;0.1412;0;0;0.6821
5;0.2889;0.537;0.0474;0.7085;0.5439;0.0527;0.0025;0.4865;0.1783;0;0;0.1408;0;0;0.679
5;0.274;0.5302;0.0479;0.7194;0.5352;0.0512;0.0064;0.4811;0.2079;0;0;0.1451;0;0;0.716
5;0.2213;0.5294;0.0497;0.7786;0.5374;0.0459;0;0.4776;0.2022;0;0;0.1407;0;0;0.7146
5;0.3437;0.5606;0.0429;0.6495;0.5641;0.0418;0.0066;0.4775;0.193;0;0.0006;0.1335;0;0;0.636
5;0.3247;0.5414;0.0452;0.6675;0.5373;0.0463;0.0077;0.4946;0.1879;0;0;0.1419;0;0;0.6772
5;0.2464;0.5317;0.048;0.7535;0.5337;0.0512;0;0.4755;0.1939;0;0;0.1457;0;0;0.6601
5;0.3884;0.5454;0.0413;0.5875;0.5471;0.041;0.0239;0.5128;0.1972;0;0;0.1382;0;0;0.619
5;0.2111;0.5276;0.0464;0.7857;0.5252;0.0452;0.0031;0.441;0.1969;0;0;0.147;0;0;0.649
5;0.2344;0.5386;0.045;0.7655;0.5448;0.0516;0;0.4787;0.1851;0;0.0105;0.1396;0;0;0.6742
5;0.2033;0.541;0.0418;0.7796;0.5477;0.0455;0.0169;0.5042;0.1866;0;0;0.138;0;0;0.7236
5;0.3808;0.5347;0.0438;0.6191;0.5389;0.0417;0;0.4742;0.1937;0;0.0019;0.1398;0;0;0.6527
5;0.3109;0.5351;0.0461;0.689;0.5369;0.0468;0;0.4714;0.1659;0;0;0.1436;0;0;0.6342
5;0.2412;0.5675;0.0428;0.7587;0.5674;0.0402;0;0.4917;0.1872;0;0.0514;0.1304;0;0;0.6497
5;0.2691;0.5285;0.0469;0.7283;0.5362;0.0516;0.0024;0.4821;0.1895;0;0;0.1453;0;0;0.6131
